textid,anger,disgust,fear,joy,sad,surprise
1,0.05238687232813683,0.14885001336291898,0.26203357920191167,0.04061938476378103,0.07684400117072344,0.41926614917252814
2,0.1315357098470336,0.025054420923244503,0.08142686800054463,0.06635067870800232,0.3886384371073487,0.30699388541382605
3,0.0,0.0,0.025834575523693715,0.23269000574586568,0.40031002112639646,0.3411653976040442
4,0.0,0.0,0.0,0.7108000000000001,0.0,0.28919999999999996
5,0.10366840967698047,0.06943417142567339,0.08342017087786405,0.27803387486347486,0.09252927451500909,0.3729140986409981
6,0.07282772322939039,0.08858318907036486,0.2603966234640112,0.0,0.4213129807779308,0.1568794834583027
7,0.0,0.0,0.10011168273268639,0.4358620948053806,0.0009488880831558178,0.46307733437877724
8,0.15336157039981949,0.0,0.39898176761640497,0.06949508379362526,0.2994446394356408,0.07871693875450954
9,0.0,0.14597021688403866,0.0,0.13513638977661274,0.0,0.7188933933393487
10,0.015488043142321438,0.1366966845694129,0.1857094793235947,0.24967643186271457,0.054159138203370844,0.3582702228985855
11,0.20228143436879334,0.0,0.041152193062764963,0.3843060457466409,0.11296461177496553,0.2592957150468352
12,0.14397998318388902,0.002631589174529999,0.28666169327835,0.10604858466975269,0.22553180908033413,0.2351463406131443
13,0.19659770020432496,0.12240237260583252,0.38610991065066425,0.04914615816742668,0.09748652680007912,0.1482573315716725
14,0.10002684203490286,0.12159843284838576,0.11179753189972091,0.28490237442863625,0.11371927718377284,0.2679555416045813
15,0.2199313665875601,0.20963572089841878,0.28826921234243075,0.0,0.2821637001715903,0.0
16,0.15750941697919843,0.03785429978377618,0.3920828811718588,0.0,0.15953894016681314,0.2530144618983536
17,0.0,0.0,0.0,0.7238289411401821,0.0,0.2761710588598178
18,0.21954206763805506,0.04153366187416569,0.15575080990939474,0.05712539563047595,0.3151738493014748,0.21087421564643372
19,0.1098959615109402,0.033683149264366004,0.19213531308138865,0.2126632981301904,0.286778504017082,0.16484377399603276
20,0.0,0.0,0.0,0.7216604819469042,0.0,0.2783395180530958
21,0.12889799254690815,0.07566045974839516,0.08684936494672671,0.4345479669397366,0.14852369319720743,0.12552052262102595
22,0.10319370506137551,0.088969983904109,0.0,0.07228220265110662,0.0859508120848452,0.6496032962985636
23,0.021122763843694766,0.0,0.14011500752885508,0.19772791851899116,0.327874969662068,0.31315934044639104
24,0.12107386487377911,0.0,0.061108880033481014,0.0,0.11992213478201275,0.6978951203107272
